,Unnamed: 0,Station_names,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Coordinates
49,62,"IIMB, Bangalore",12.89558285,77.60262192,4,7,1,40,7,3,15,2,20,5,"12.8956,77.6026"
50,64,"Halasuru, Bangalore",12.9778793,77.6246697,3,6,0,39,12,6,31,1,28,17,"12.9779,77.6247"
51,65,"Hulimavu, Bangalore",12.8773486,77.6028031,6,3,0,27,2,5,5,2,18,3,"12.8773,77.6028"
52,66,"Krishna Rajendra Market, Bangalore",12.9608788,77.5746578,5,4,0,21,3,3,10,0,12,6,"12.9609,77.5747"
53,67,"Trinity, Bangalore",12.9730218,77.6170205,8,6,0,58,19,6,40,3,49,25,"12.973,77.617"
54,68,"Gottigere, Bangalore",12.8565317,77.5877237,1,3,0,8,2,4,6,1,5,4,"12.8565,77.5877"
55,69,"National College, Bangalore",12.9505161,77.5736794,10,5,0,47,6,8,21,0,15,5,"12.9505,77.5737"
56,70,"Mahatma Gandhi Road, Bangalore",12.9730154,77.6166123,8,6,0,63,24,6,35,3,52,26,"12.973,77.6166"
57,71,"Lalbagh, Bangalore",12.9465265,77.580016,7,2,1,36,5,6,21,0,17,6,"12.9465,77.58"
58,72,"Cubbon Park, Bangalore",12.97422565,77.59220168,5,10,7,68,20,11,25,0,32,19,"12.9742,77.5922"
59,73,"Southend Circle, Bangalore",12.9366676,77.5771236,16,6,1,64,4,12,18,1,19,10,"12.9367,77.5771"
60,74,"Vidhana Soudha, Bangalore",12.9797454,77.59061673,6,12,5,28,7,8,25,0,11,15,"12.9797,77.5906"
61,75,"Jayanagar, Bangalore",12.9292731,77.5824229,17,11,2,81,10,19,21,2,38,10,"12.9293,77.5824"
62,77,"Rashtreeya Vidyalaya Road, Bangalore",12.9231039,77.50064546,1,3,0,7,1,4,7,0,6,0,"12.9231,77.5006"
63,78,"Majestic, Bangalore",12.9757079,77.5728757,5,5,0,34,9,15,6,1,16,33,"12.9757,77.5729"
64,79,"Banashankari, Bangalore",12.9152208,77.573598,2,3,0,21,3,5,11,0,9,4,"12.9152,77.5736"
65,80,"City Railway Station, Bangalore",12.9791198,77.5912997,7,12,6,47,9,7,29,0,23,17,"12.9791,77.5913"
66,81,"Jayaprakash Nagar, Bangalore",13.0345125,77.55078089,4,9,0,9,3,9,6,3,3,4,"13.0345,77.5508"
67,82,"Magadi Road, Bangalore",12.9890242,77.4718714,2,2,1,1,0,1,7,0,2,1,"12.989,77.4719"
68,83,"Yelachenahalli, Bangalore",12.897971,77.5700846,0,4,0,6,2,2,3,0,3,1,"12.898,77.5701"
69,84,"Hosahalli, Bangalore",12.974178,77.545538,4,6,0,18,3,5,12,1,7,5,"12.9742,77.5455"
70,85,"Anjanapura Road Cross, Bangalore",12.8845448,77.5701276,0,5,0,6,0,2,3,1,3,4,"12.8845,77.5701"
71,86,"Vijayanagar, Bangalore",12.9718886,77.54578884,4,6,0,17,3,5,11,1,7,5,"12.9719,77.5458"
72,87,"Vajarahalli, Bangalore",13.1016741,77.406047,0,0,0,1,0,1,1,0,0,0,"13.1017,77.406"
73,88,"Attiguppe, Bangalore",12.962499,12.962499,0,0,0,0,0,0,0,0,0,0,"12.9625,12.9625"
74,90,"Deepanjali Nagar, Bangalore",12.9526939,77.535647,2,6,0,5,4,2,6,0,3,5,"12.9527,77.5356"
75,92,"Mysore Road, Bangalore",12.9455407,77.5286919,0,7,0,4,0,1,4,0,10,2,"12.9455,77.5287"
76,93,"Nayandahalli, Bangalore",12.9413253,77.5212118,0,2,0,6,0,2,5,0,18,2,"12.9413,77.5212"
77,94,"Rajarajeshwari Nagar, Bangalore",12.9274413,77.5155224,6,3,0,16,6,6,7,0,7,5,"12.9274,77.5155"
78,95,"Bangalore University, Bangalore",12.94417205,77.50914859,0,4,0,3,1,1,2,0,3,0,"12.9442,77.5091"
79,96,"R. V. College of Engineering/Pattanagere, Bangalore",12.9231039,77.50064546,1,3,0,7,1,4,7,0,6,0,"12.9231,77.5006"
80,98,"Kengeri, Bangalore",12.9176571,77.4837568,1,3,0,7,0,6,6,0,20,5,"12.9177,77.4838"
