,Station_names,Latitude,Longitude
0,Bangalore International Exhibition Centre (BIEC) ,,
1,Whitefield,,
2,Ragigudda Temple,,
3,Nagawara,,
4,Jindal,,
5,Ujwala Vidyalaya,,
6,Jayadeva Hospital Interchange,,
7,Arabic College,,
8,Manjunathanagar,,
9,Kadugodi,,
10,BTM Layout,,
11,Venkateshpura,,
12,Nagasandra,,
13,ITPL,,
14,Silk Board Interchange,,
15,Tannery Town,,
16,Dasarahalli,,
17,Satyasai Medical Institute,,
18,HSR Layout,,
19,Pottery Town,,
20,Jalahalli,,
21,Vydehi Hospital,,
22,Oxford College,,
23,Cantonment Railway Station,,
24,Peenya Industry,,
25,Kundalahalli,,
26,Muneshwara Nagar,,
27,Shivajinagar,,
28,Peenya,,
29,Visvesvaraya Industrial Estate,,
30,Chikkabegur,,
31,MG Road Interchange,,
32,Yashwanthpur Industry,,
33,Doddanakundi,,
34,Basapura Road,,
35,Vellara Junction,,
36,Yeshwanthpur,,
37,Garudacharapalya,,
38,Hosa Road,,
39,Langford Town,,
40,Sandal Soap Factory,,
41,Mahadevapura,,
42,Electronics City 1,,
43,MICO Bosch,,
44,Mahalaxmi,,
45,KR Puram,,
46,Electronics City 2,,
47,Dairy Circle,,
48,Rajajinagar,,
49,Jyothipuram,,
50,Huskur Road,,
51,Swagath Road Cross,,
52,Srirampura,,
53,Baiyappanahalli,,
54,Hebbagodi,,
55,Jayadeva Hospital Interchange,,
56,Sampige Road,,
57,Swami Vivekananda Road,,
58,Bommasandra,,
59,JP Nagar 4th block,,
60,Kempegowda Interchange,,
61,Indiranagar,,
62,IIMB,,
63,Chikpette,,
64,Halasuru,,
65,Hulimavu,,
66,Krishna Rajendra Market,,
67,Trinity,,
68,Gottigere,,
69,National College,,
70,Mahatma Gandhi Road,,
71,Lalbagh,,
72,Cubbon Park,,
73,Southend Circle,,
74,Vidhana Soudha,,
75,Jayanagar,,
76,Sir M. Visveshwaraya,,
77,Rashtreeya Vidyalaya Road,,
78,Majestic,,
79,Banashankari,,
80,City Railway Station,,
81,Jayaprakash Nagar,,
82,Magadi Road,,
83,Yelachenahalli,,
84,Hosahalli,,
85,Anjanapura Road Cross,,
86,Vijayanagar,,
87,Vajarahalli,,
88,Attiguppe,,
89,Talaghattapura,,
90,Deepanjali Nagar,,
91,NICE Anjana Township,,
92,Mysore Road,,
93,Nayandahalli,,
94,Rajarajeshwari Nagar,,
95,Bangalore University,,
96,R. V. College of Engineering/Pattanagere,,
97,Mailasandra[57][58],,
98,Kengeri,,
99,Challegatta,,
